Text,Alt,Count,Lat,Long
Cyclades Islands,NONE,1,36.9742305418,25.4268381854
Aegean Sea,NONE,1,38.903941577,24.8831187274
Sunium,NONE,3,37.6530351725,24.0271373432
Island of Patroclus,Patroklou Charax (island),3,37.6504751404,23.9505303206
Magnesia,NONE,1,39.5066786008,22.920519021
Thermodon,Terme River,1,41.194,36.942
Europe,NONE,3,41.241813125,27.6614975
Ionian Sea,NONE,2,39.2,18.7
Lamian gulf,Lamia,1,38.902996,22.442593
Asia,NONE,14,438.4608143183,27.7758818736
Pessinus,NONE,1,39.331448,31.58328
Meda,Persia1,1,13.615017,43.693538
Acropolis,Athenian Acropolis,20,37.9716470903,23.7264384999
Acherusia,NONE,1,39.25,20.75
The Gardens,Babylon,1,32.53729695,44.42497815
Eridanus,NONE,3,44.9972897676,9.96512278141
Mount Sipylus,NONE,2,38.567,27.456
the Greek Sea,Aegean Sea,1,38.903941577,24.8831187274
Marathon,NONE,14,38.1465515,23.970146
Red Sea,NONE,1,19.0,39.5
Nile,NONE,4,16.6582979509,30.8044148196
Mount Atlas,NONE,2,31.059,-7.915
Chalcinus,NONE,1,38.457139,23.621937
Cithaeron,NONE,4,38.1842024,23.2491897
Mount Gerania,NONE,1,38.016840343,23.0947124135
Molurian Rock,Mountain in Megaris,1,38.0347244727,23.2114475437
Peiraeus,NONE,11,37.937222,23.644609
Delphi,NONE,12,38.482289,22.501169
Munychia,NONE,3,37.9406,23.6559
Thermopylae,NONE,5,38.796,22.543644
Boeotia,NONE,9,38.3168971672,23.1349191419
Thessaly,NONE,4,39.4438683285,22.2954322962
Chersonesus,NONE,2,40.3366203876,26.4879780177
Teuthrania,NONE,2,39.035223,27.054771
Sicily,NONE,6,37.6145917375,14.0434790443
Syracuse,NONE,5,37.070078971,15.2833356581
Macedonia,NONE,15,40.7439104406,22.0200685736
Libya,NONE,2,31.5,26.5
Sardinia,NONE,1,39.9853752418,8.99489744992
Ionia,NONE,2,38.53,23.87
Troy,NONE,12,39.9574380796,26.2385156164
Gortyn,NONE,1,35.062107,24.946943
Colophon,NONE,4,38.108253,27.1483085
Teos,NONE,1,38.177262,26.785014
Lesbos,NONE,1,39.1776238819,26.2373333884
Ascalon,NONE,1,31.6647972122,34.5505214667
Cythera,NONE,2,36.2401136145,22.982874966
Tiryns,NONE,1,37.5992801001,22.7999851216
Nemea,NONE,1,37.8090585307,22.7106795365
Seriphos,NONE,1,37.1560801761,24.4823967318
Elis,NONE,1,37.7476735676,21.6883960595
Corcyra,NONE,2,39.60813,19.906703
Oeta,NONE,2,38.8043827,22.2692091
Parnassus,NONE,2,38.53516035,22.6220613
Ancyra,NONE,2,39.9437925,32.859333
Cnidus,NONE,2,36.73328265,27.69261325
Thesprotia,NONE,6,39.4579354528,20.5564965576
Peloponnesus,NONE,6,37.1389891894,22.471961994
